"","time","mean_sumsize"
"786",786,24491
"787",787,24744.7
"788",788,24730.3
"789",789,24843.6
"790",790,25154.2
"791",791,24504.3
"792",792,24679.2
"793",793,24530.9
"794",794,24177.3
"795",795,24155.1
"796",796,24600.8
"797",797,24112.8
"798",798,24127
"799",799,24633.8
"800",800,24785.8
"801",801,24798.3
"802",802,24591.7
"803",803,24769.7
"804",804,24749.2
"805",805,24915.9
"806",806,24727.5
"807",807,24234.2
"808",808,24448.8
"809",809,24794.7
"810",810,24412.7
"811",811,24519.8
"812",812,24808.8
"813",813,25000.7
"814",814,25009.1
"815",815,24691.2
"816",816,24911.2
"817",817,24747
"818",818,24505
"819",819,24238
"820",820,24512.9
"821",821,24681.7
"822",822,24563.9
"823",823,24265
"824",824,24339.7
"825",825,24255.2
"826",826,24567.3
"827",827,24335.6
"828",828,24423.3
"829",829,24715.7
"830",830,24685.6
"831",831,24717.2
"832",832,24816.3
"833",833,24578.3
"834",834,24555.8
"835",835,25161
"836",836,24493
"837",837,23981.3
"838",838,24100.3
"839",839,24206.3
"840",840,24434.6
"841",841,24322.4
"842",842,24711
"843",843,24719.9
"844",844,24739.7
"845",845,24571
"846",846,24957.8
"847",847,24699.3
"848",848,24667.1
"849",849,24933
"850",850,24981.2
"851",851,24938.3
"852",852,24512.2
"853",853,24456.9
"854",854,24382.2
"855",855,24605.3
"856",856,24690.1
"857",857,24559
"858",858,24548.1
"859",859,24621.5
"860",860,24634.9
"861",861,24736.2
"862",862,24903.4
"863",863,24789.3
"864",864,24843.7
"865",865,24585.5
"866",866,24618.2
"867",867,24483
"868",868,24254.5
"869",869,24616
"870",870,24678.5
"871",871,24712.5
"872",872,24605.4
"873",873,24247.6
"874",874,24462.7
"875",875,24632.9
"876",876,24700
"877",877,24732
"878",878,24574
"879",879,24775
"880",880,24833.6
"881",881,24739.6
"882",882,24930.8
"883",883,24717.5
"884",884,24909
"885",885,24875.7
"886",886,24885.1
"887",887,24472.1
"888",888,24710.6
"889",889,24546.8
"890",890,25011.9
"891",891,24366.4
"892",892,25154.7
"893",893,24710.9
"894",894,24537.6
"895",895,24318.5
