"","time","mean_MR_mean_summ","mean_MR_sd_summ","mean_maladaptation_time"
"915",915,0.609024048062325,0.26771804317737,0.4
"916",916,0.609203179218183,0.268148717863711,0.4
"917",917,0.610197179163337,0.267236692492659,0.7
"918",918,0.6099897393447,0.266759547392488,0.6
"919",919,0.610934576592107,0.26744734631492,0.5
"920",920,0.610590926934906,0.267120246479199,0.4
"921",921,0.609172499271874,0.268277321446541,0.5
"922",922,0.609158119856154,0.268765896219913,0.5
"923",923,0.609062098609208,0.268839747921747,0.6
"924",924,0.608484995585225,0.268190477969345,0.5
"925",925,0.611571066103327,0.26761349739124,0.7
"926",926,0.610777587861282,0.267633590978031,0.5
"927",927,0.610833678122196,0.267939184708099,0.7
"928",928,0.612093308491388,0.267299696779851,0.7
"929",929,0.61121030124078,0.268463380955441,0.4
"930",930,0.611370332899483,0.268519411847011,0.4
"931",931,0.611353256144535,0.267791914472256,0.5
"932",932,0.611322365763935,0.267765858971387,0.6
"933",933,0.610575341752968,0.268879106146902,0.7
"934",934,0.61157773875021,0.269342368673492,0.6
"935",935,0.609931429725836,0.2689590901572,0.4
"936",936,0.610596611406751,0.268301737317569,0.3
"937",937,0.611360117904909,0.268007959339476,0.4
"938",938,0.60981345371179,0.268528680549102,0.4
"939",939,0.612958843956544,0.268584741818074,0.5
"940",940,0.613539803146307,0.267723994041591,0.3
"941",941,0.610730821254659,0.268750991823845,0.5
"942",942,0.612164275930239,0.268524812484204,0.7
"943",943,0.612269155206369,0.268824982853777,0.5
"944",944,0.612431654455906,0.2684329649508,0.6
"945",945,0.61379441707419,0.268116168995881,0.7
"946",946,0.614346347029541,0.268222541041876,0.4
"947",947,0.61250219785676,0.268336472888919,0.3
"948",948,0.612032437014668,0.269156400038295,0.4
"949",949,0.611571583181686,0.268871725801731,0.7
"950",950,0.611422040949266,0.26821033802782,0.6
"951",951,0.610829828101102,0.268125119463083,0.4
"952",952,0.611409797810965,0.268234358260663,0.7
"953",953,0.611711433219063,0.268330169095503,0.5
"954",954,0.612482931507989,0.268462680907946,0.5
"955",955,0.61365554027619,0.268061348906858,0.5
"956",956,0.612695212409262,0.26834360458167,0.7
"957",957,0.612684069010188,0.267716054051858,0.4
"958",958,0.608259323565042,0.268658177697096,0.4
"959",959,0.609596398488386,0.26835905984704,0.9
"960",960,0.608707406861672,0.269832735513203,0.6
"961",961,0.606341039674878,0.270230379346957,0.5
"962",962,0.603386329725155,0.269852514776227,0.4
"963",963,0.604224628697161,0.269632016911074,0.5
"964",964,0.607406458304669,0.268854013055487,0.7
"965",965,0.607046031071422,0.268512885332632,0.5
"966",966,0.605752772937625,0.269067950424746,0.7
"967",967,0.603301563740624,0.27036734673094,0.5
"968",968,0.605068719415648,0.270172168707699,0.7
"969",969,0.606327822739937,0.269760103661351,0.2
"970",970,0.608336372346003,0.268713106717489,0.7
"971",971,0.607657019593713,0.269062506433907,0.6
"972",972,0.608221227262973,0.268997780114717,0.6
"973",973,0.608814397012436,0.268835372471968,0.5
"974",974,0.60692795148024,0.269415171595696,0.4
"975",975,0.610504843313373,0.268723695558443,0.7
"976",976,0.607272690592696,0.268941945681488,0.6
"977",977,0.607494874054126,0.269150003357141,0.3
"978",978,0.606359435416303,0.270397661743141,0.6
"979",979,0.608438852736123,0.269163387142404,0.7
"980",980,0.608696642347567,0.269068416742116,0.2
"981",981,0.607756993804162,0.269172843795389,0.4
"982",982,0.605021003785233,0.2691769691361,0.5
"983",983,0.604294367869926,0.269828144737158,0.4
"984",984,0.6046517126475,0.26841906946892,0.8
"985",985,0.605997240265384,0.268468109126334,0.6
"986",986,0.609718235677699,0.267938620184616,0.8
